CreateThread,CreateVirtualThread,CreateThread Teste T,,JoinThread,JoinVirtualThread,JoinThread Teste T,,YieldThread,YieldVirtualThread,YieldThread Teste T,,StartThread,StartVirtualThread,StartThread Teste T
"0,172","0,001",0,,"1,101","0,002",0,,"14,173","0,016",0,,"1,093","0,002",0
"0,191","0,001",,,"1,098","0,002",,,"14,164","0,017",,,"1,091","0,002",
"0,171","0,001",,,"1,097","0,002",,,"14,193","0,019",,,"1,096","0,002",
"0,175","0,001",,,"1,094","0,002",,,"14,187","0,017",,,"1,095","0,002",
"0,173","0,001",,,"1,092","0,002",,,"14,251","0,016",,,"1,089","0,002",
"0,171","0,001",,,"1,08","0,002",,,"14,235","0,019",,,"1,089","0,002",
"0,177","0,001",,,"1,095","0,002",,,"14,18","0,018",,,"1,093","0,002",
"0,176","0,001",,,"1,093","0,002",,,"14,201","0,017",,,"1,099","0,002",
"0,175","0,001",,,"1,091","0,002",,,"14,21","0,016",,,"1,099","0,002",
"0,175","0,001",,,"1,084","0,002",,,"14,213","0,016",,,"1,097","0,002",
"0,172","0,001",,,"1,094","0,002",,,"14,288","0,016",,,"1,1","0,002",
"0,176","0,001",,,"1,088","0,002",,,"14,25","0,015",,,"1,103","0,002",
"0,176","0,001",,,"1,09","0,002",,,"14,231","0,017",,,"1,106","0,002",
"0,171","0,001",,,"1,088","0,002",,,"14,2","0,016",,,"1,093","0,002",
"0,177","0,001",,,"1,084","0,002",,,"14,167","0,018",,,"1,097","0,002",
"0,175","0,001",,,"1,091","0,002",,,"14,222","0,018",,,"1,091","0,002",
"0,181","0,001",,,"1,1","0,002",,,"14,208","0,021",,,"1,089","0,002",
"0,184","0,001",,,"1,099","0,002",,,"14,258","0,018",,,"1,13","0,002",
"0,178","0,001",,,"1,089","0,002",,,"14,238","0,021",,,"1,102","0,002",
"0,171","0,001",,,"1,086","0,002",,,"14,204","0,021",,,"1,1","0,002",
"0,173","0,001",,,"1,089","0,002",,,"14,201","0,022",,,"1,101","0,002",
"0,181","0,001",,,"1,099","0,002",,,"14,268","0,021",,,"1,104","0,002",
"0,189","0,001",,,"1,1","0,002",,,"14,222","0,02",,,"1,095","0,002",
"0,173","0,001",,,"1,094","0,002",,,"14,243","0,024",,,"1,105","0,002",
"0,183","0,001",,,"1,097","0,002",,,"14,226","0,021",,,"1,107","0,002",
"0,182","0,001",,,"1,09","0,002",,,"14,207","0,02",,,"1,105","0,002",
"0,18","0,001",,,"1,093","0,002",,,"14,213","0,021",,,"1,099","0,002",
"0,189","0,001",,,"1,096","0,002",,,"14,244","0,021",,,"1,105","0,002",
"0,189","0,001",,,"1,095","0,003",,,"14,193","0,02",,,"1,102","0,002",
"0,185","0,001",,,"1,098","0,002",,,"14,196","0,022",,,"1,108","0,002",